From Account,To Account,Amount
136378,617961,663
506315,1022381,744
960533,588559,600
446427,329761,432
460927,462353,74
623205,483368,178
424000,110386,591
780089,1049907,627
343416,154605,548
992526,957084,456
364920,483311,735
988661,192512,344
384965,653931,360
848396,346351,372
688268,1082995,630
904228,489454,562
791986,845581,343
718201,856204,540
116824,979874,550
497202,404539,114
657253,599550,752
351888,290164,568
977670,1096386,308
759481,1004187,227
571050,768134,530
799566,919526,200
516330,456830,160
530677,870648,292
918181,248805,411
193342,220276,398
621313,413966,143
282844,775244,188
730780,214470,211
319765,793068,127
229519,678907,635
230931,368996,868
604390,746706,793
324869,830760,491
1044443,855689,49
670339,1022779,81
1075964,264493,414
287766,505338,286
102545,400630,674
696594,521466,950
222179,980806,366
348662,714047,979
868731,487144,113
1064182,647504,341
585467,258511,658
887194,453831,721
901923,931628,638
840236,798779,992
695278,426517,161
852485,248807,486
343952,685601,11
189518,221019,851
955777,536625,929
961518,375268,697
813924,930683,411
1024074,704822,406
379385,1014051,366
1062791,694468,712
598679,905196,727
203702,992148,778
950962,522760,831
757857,201530,812
476955,744101,763
635849,199168,45
394185,249322,286
1012147,735989,420
226133,910147,385
733485,446049,573
626475,584189,315
1071873,784846,697
1027323,314765,752
123193,995323,135
291395,573874,489
1032417,974229,980
434583,102626,244
973250,104270,543
879045,599532,941
629090,612031,554
823327,706617,13
328409,705810,320
630498,660056,809
132047,134454,209
570103,420552,374
148440,523733,943
236624,422113,408
765719,654981,486
736334,329678,884
713885,1071354,511
478269,783177,567
708567,1093926,93
736665,657205,939
846432,193495,185
191448,136859,73
141752,390450,515
416823,756568,699
568361,1049009,428
980484,253444,926
1018938,529197,830
439208,716459,251
186850,651615,545
466658,687050,630
580187,511668,43
142131,711552,477
391444,775233,553
198465,120028,380
412442,290636,354
904029,546925,905
138229,292452,795
869486,615504,338
452572,933776,171
183496,1079444,79
159782,252669,462
212699,599092,889
828152,479230,530
397047,195460,61
861827,926278,821
286388,199236,15
754454,1039206,481
679844,448515,253
298395,1087233,393
354957,716994,388
127354,806200,547
393858,659445,81
860295,308879,433
590762,227755,423
153896,134322,873
795357,617567,832
176351,769652,479
676338,683341,484
377640,211051,861
914323,793101,595
216463,144882,297
519163,189886,390
316529,201223,445
217462,918938,41
588432,114504,10
451643,979119,396
367530,676288,518
483080,287830,759
477115,185550,215
314768,330599,842
417492,562517,493
757979,905738,331
496832,109879,98
202869,749461,846
356749,648729,490
676683,717471,250
472188,316714,99
207498,644357,589
930102,735843,325
1042145,153766,384
733361,812166,535
487302,770298,312
715580,1058709,320
472526,373945,440
798999,330233,666
631620,973476,675
1077307,1071124,421
173386,601863,918
435799,979588,175
225712,254064,907
777095,960395,950
318031,318581,78
449568,1027990,35
664788,572806,727
913422,695332,446
694526,1066088,567
398682,1057419,682
276683,157848,866
269344,885773,332
224661,582696,365
726335,250632,996
328265,610013,377
393559,832042,666
194066,1049639,560
277842,475196,133
242701,175718,247
1021593,204581,104
778479,513064,466
189423,641341,180
491885,655119,856
189827,604183,493
844163,929922,467
902601,306822,312
115204,295518,479
233640,673690,369
738362,684492,471
149946,226001,352
915651,693618,908
929088,171380,825
924090,623452,781
394429,673758,878
806297,619098,800
548132,399914,979
971482,931760,35
187520,378567,495
381192,231886,646
578430,844007,717
688456,137206,370
1085660,650374,316
345742,686018,483
672134,597391,308
910015,260271,971
267566,150093,587
894772,491807,542
211504,890349,828
492330,261431,893
101063,290825,403
1038911,528979,257
313066,572349,408
217504,763240,319
298055,1009915,340
408761,124368,221
638985,711839,646
195525,747365,983
151377,946940,777
675107,759578,911
462092,242081,532
311746,497339,711
363103,635283,890
181505,750273,465
968320,179503,279
311913,482409,69
584509,907773,873
796362,297334,278
712843,714466,285
452336,875593,381
1010075,293121,183
215347,735426,204
835725,822187,470
898832,665680,746
497860,661878,167
867551,1013082,301
176362,659683,224
361538,446648,708
763123,960027,580
308078,610455,626
448555,653816,850
410974,132677,937
537933,926489,288
891622,917769,659
399818,338365,337
278425,160301,205
795761,758112,722
486026,434163,298
165333,139350,524
600226,150681,153
136947,891748,904
175806,962969,255
677170,1007239,884
719520,669840,841
399280,952955,23
1079260,604349,840
614537,645345,154
270547,383740,168
1091907,880861,322
858143,146993,690
1094152,625553,131
739980,356940,517
140062,820544,668
969265,1091023,38
468232,535821,560
522194,751873,369
521148,494742,149
878811,356108,504
404246,1078755,687
281691,519309,860
341755,1039468,381
944849,675954,223
720852,866215,600
116588,936094,364
198926,357609,414
119328,1003956,599
777094,335553,269
213783,528002,710
725144,882024,333
186876,220516,703
375601,454170,81
687703,636203,739
640029,742843,655
871858,855688,544
367335,520425,990
765458,1008857,667
794393,900421,358
1090095,154642,881
256934,1058854,381
490995,888287,897
343355,741115,696
138100,455351,20
423718,800210,643
711274,282502,989
277556,658368,204
850271,536351,563
173242,728296,267
104586,688534,110
1039346,672546,589
929566,420867,329
149206,619053,15
1039685,488956,40
527601,1030718,699
829243,528284,961
446648,488024,47
725007,1091982,409
581304,514996,837
442374,327231,185
107882,423590,687
1085397,495987,305
267625,913551,56
778156,660110,784
440044,1014085,385
751393,544230,404
595321,1004540,186
656283,469842,915
121974,169634,848
797716,178849,212
759495,1069101,270
816726,846765,344
506851,927769,631
463431,168351,981
935506,174994,683
332772,869747,582
673650,842927,196
145410,465923,770
190076,396080,695
406175,1084078,243
1078106,510158,214
164571,599664,821
289367,1079968,653
205163,1080161,311
112220,227457,199
674833,535639,510
896075,1030796,463
443649,533379,371
994341,1096548,956
453985,752373,432
776822,428116,587
534551,476131,301
476294,632403,367
421260,556113,978
298640,211257,53
511391,885808,270
1038131,628277,92
495192,1045075,695
120228,1084548,474
449124,558808,730
931150,294206,534
1097973,1035942,743
1047663,813451,130
934008,729030,481
670999,592570,999
793479,977427,821
268191,442138,344
101009,322176,17
699642,376973,752
804300,408613,634
252466,187446,198
523068,720033,508
193084,391231,489
436188,106490,682
197297,620678,191
109873,354240,762
281292,395964,911
226070,402676,251
732816,347219,987
401614,925029,757
781098,958050,747
868579,464324,573
664812,801846,130
674599,426860,60
677823,505275,828
331226,741720,202
601961,665241,697
357506,199426,938
859777,179154,817
824139,957353,192
375598,445726,182
498729,239552,578
379977,943657,583
760223,474092,61
358470,898021,930
1024416,951215,483
226107,380176,781
657445,133275,687
634397,750770,373
697086,700129,755
993561,938906,502
962096,549351,818
825820,781363,196
631648,393328,168
883309,607345,379
814757,806404,665
706283,431848,368
615873,215775,517
534617,573458,915
518297,368409,465
461065,121635,497
1022253,131666,838
865413,771931,438
390367,142091,911
1068241,405303,823
880860,513716,116
444332,486088,196
728232,414125,439
698068,554038,347
440099,868972,66
529355,281028,615
206348,942926,581
861526,750619,517
628366,870788,232
602863,1016100,861
127341,288423,839
141296,784271,53
877905,877535,388
152354,910903,237
468099,523687,408
782728,463439,252
1040038,775710,545
744379,996674,132
1020923,578661,173
356024,664691,967
938297,1005334,337
395975,689616,411
220161,315882,396
825537,552658,656
817734,775480,331
1013471,723309,861
814501,173793,108
904370,463753,307
595019,402950,175
1047056,211259,410
320162,703844,279
253922,254307,464
799585,958645,1000
1072681,269222,592
801219,137324,703
854414,787675,956
244014,728877,784
1082413,892985,124
248550,333661,783
238425,313222,40
315710,289313,521
206685,612123,577
348651,420403,49
548135,583892,572
326072,962837,937
866088,987868,550
1025582,174549,924
851165,120509,266
347828,983410,564
731898,656049,848
538616,908605,72
581248,321473,959
563569,952976,517
1027047,686663,239
1083581,715657,345
180783,715280,739
1006956,495112,150
191163,1053755,351
382919,691689,762
743175,391057,381
810325,130236,391
592999,1080239,738
480632,730797,104
920346,956551,804
340963,888749,364
759890,549761,746
1047925,451955,415
800852,173398,646
123791,390079,370
608258,1058461,294
656807,569522,600
142002,623147,254
299430,540564,60
909293,1013370,101
1083363,881262,744
852584,803842,633
572863,122954,704
822633,404394,378
932594,837056,951
964184,1055433,635
1030292,741147,630
428340,1086163,638
741235,1073225,286
990577,1036458,626
681846,113049,654
564073,176002,763
701285,430651,981
473074,766895,777
111968,1011595,543
856648,692903,59
846474,451405,386
762883,715591,470
837557,216944,919
284968,205667,655
700269,560513,53
939701,639214,456
462605,136598,84
604355,276293,931
787852,449499,725
141920,715761,683
779186,1014942,724
631591,165147,995
984473,787113,40
939550,236246,922
456177,899095,709
1029501,808750,83
150819,810866,180
433840,193571,315
650644,383612,297
928640,642510,169
1027611,542660,756
1054515,607678,95
370035,1000276,177
808004,938644,95
957305,844838,540
689095,612602,772
1090034,357805,48
203880,791406,891
1068677,575326,592
966278,466106,111
187662,467453,187
420705,310876,90
472890,574440,686
556580,1027190,613
367448,766750,709
473709,314242,688
600333,704508,378
725808,818980,390
570572,817069,913
1075929,575454,632
1085779,576963,836
271983,254137,194
739779,360070,311
1098103,595232,176
440457,519070,695
931416,430356,953
209036,230119,522
624936,737121,929
799542,691355,936
279033,523460,88
1060897,656102,869
384586,686387,197
446388,317053,784
760044,825384,165
204669,381080,400
493254,1051232,765
206165,906095,566
476670,489661,348
430803,885769,953
170625,687927,910
1034536,218829,24
196005,657214,192
212641,1049754,822
286500,718344,998
696355,732439,510
1005989,220652,96
968171,798723,424
979922,572152,699
1073763,521275,848
289927,760053,722
821900,1069678,430
565871,475576,399
631447,740869,215
182205,950521,865
665902,574132,911
287631,795224,749
728515,1089518,843
615581,171760,831
601699,662848,587
725258,798976,818
304233,293830,769
941952,748848,806
250196,636293,164
208674,627142,489
275594,474888,786
719423,399572,559
901277,602853,570
142166,595939,363
806163,466817,305
365906,620158,606
877571,953000,688
972239,104648,702
1099036,246372,763
576398,367941,855
1034118,682526,278
444589,699606,990
547153,1065397,610
282497,439475,729
693208,476507,522
100021,561459,191
583420,148184,393
406132,709166,851
528312,675541,964
660384,269375,646
833571,870654,235
221317,631102,309
109599,910756,213
331275,670702,718
979539,440500,693
815656,265015,287
355040,1055837,729
369855,280823,129
116167,1099919,710
569153,170677,774
303511,666900,959
190885,382579,981
318377,171648,286
106343,539020,816
299520,270517,625
434129,348169,711
293567,789432,641
215679,1033867,149
408624,1099463,683
291823,381454,434
884779,976895,756
810106,317725,923
555112,542149,224
230422,501938,842
992721,220192,795
430197,374232,774
297293,168225,977
327727,1049564,354
152292,819633,936
399157,749401,278
526844,192670,650
206602,224799,732
164355,617866,550
682821,592597,127
706371,1000209,114
139719,1015118,628
714884,236235,934
708469,846195,690
1007666,257788,893
969828,950451,69
439644,456402,133
382455,949021,819
727512,272144,362
626543,724645,349
1066525,568960,888
915360,1011294,419
430609,1086662,122
100881,211070,438
786470,142831,10
869248,643310,816
542981,546913,193
452029,1008116,180
833377,1024123,64
647079,865810,694
1069300,464587,373
142780,624904,466
925038,800306,262
665214,297638,520
442484,1053137,226
311327,613729,501
1042215,345953,50
656262,432901,694
488133,1064005,485
585801,385860,731
1005763,1063812,11
574904,131528,334
343300,552503,956
902814,100005,462
935396,914705,885
591169,223026,646
267779,258456,264
441747,583134,827
329140,851882,222
1098016,194997,426
196481,753780,62
283803,389128,426
137394,708006,18
1002727,804310,124
786685,838354,955
1006452,148271,881
914131,795651,142
924307,384948,252
796205,804466,880
1096148,192807,755
476940,848498,440
413841,239086,220
354517,888171,265
504572,455235,225
222965,805063,74
740694,905195,41
675835,722536,295
428639,476910,54
902544,462212,797
728866,614139,919
485951,792837,264
164599,787035,489
746288,1013961,141
922457,152739,812
561743,750098,145
582124,848286,565
143357,951650,907
704519,796799,183
187392,938796,413
149354,854949,773
179803,279348,859
350839,252041,901
806464,943164,602
928646,944009,327
531891,447309,69
1042295,306878,539
333359,809366,38
1050517,371846,389
158610,274448,378
942194,1019624,987
983510,380279,453
376785,1011986,567
582262,101570,604
538738,330559,301
397560,139171,172
635505,528721,823
944561,643580,471
864570,605105,673
397197,1098465,656
1081292,878510,546
862060,435894,943
1092805,996681,985
759125,541916,141
502449,208590,247
1026645,882548,415
415334,370036,860
616272,973919,723
360271,816166,663
588251,170008,457
893827,1011047,382
195028,842038,419
1067972,952565,863
222302,753484,970
252087,719076,275
259327,334821,974
822156,387220,345
291821,657681,372
974796,626148,179
490900,548942,441
859024,585840,103
441712,308465,810
321755,203288,102
693739,570091,51
459344,850786,139
771821,144902,887
200521,293904,145
426696,638445,148
187255,474141,121
1012590,170925,740
879206,835781,532
984149,961144,366
770242,492942,928
123527,479059,346
1047404,364154,176
218355,218180,815
835220,796426,576
588798,163938,748
654105,716869,356
768179,702618,254
664993,594601,53
929100,614608,864
940530,382004,428
983467,125744,47
338621,935672,742
476424,1011981,684
722910,663060,337
587756,1055914,481
873416,404948,648
560044,1063311,500
1052067,1038483,734
407640,484214,710
880001,288794,762
993400,424835,94
128712,347790,46
774168,613515,772
951341,202754,934
533819,746970,280
1005583,1028781,369
510066,614406,860
801194,1067859,274
709880,102774,497
412054,1094259,396
1005185,859626,345
178012,513913,807
697709,419384,36
240466,106458,27
374343,530235,70
151547,353660,61
306615,847023,226
1062191,832803,51
620773,326910,259
150015,568402,992
1022490,152167,832
1051535,392308,707
608818,887639,433
495793,1044828,433
676326,175380,1000
928358,926243,670
293810,249927,498
862807,326645,677
941884,241889,749
374647,348312,558
332838,470922,357
299332,811694,234
981878,812130,364
1040630,686551,771
339016,149202,607
162883,629279,483
709036,1085402,88
304898,691171,359
978146,671658,999
216038,101279,937
922587,583090,283
222790,312326,602
1040956,467634,276
646647,237468,492
345705,724735,793
946547,332086,448
847290,694971,538
127041,431310,135
917965,612599,948
493604,563802,502
303696,104455,301
734276,1029518,581
323410,473016,628
182743,179059,650
1091797,156071,34
568572,180171,28
719938,336188,896
716748,204574,15
610172,583673,55
157397,805988,136
269352,689125,540
442565,642046,105
1085546,1056966,518
779958,284121,996
425142,317993,829
861857,1032190,392
337833,168572,20
260270,463908,62
883086,476259,154
1088670,930941,919
961155,316885,798
214407,195437,912
840484,646654,354
619569,492619,202
626481,969805,501
244142,663587,836
373321,655814,765
356684,890137,816
232314,338945,960
265733,508973,460
356683,842965,869
572469,381686,40
1084577,964402,819
1048909,811464,409
699200,465311,873
905861,954299,806
132223,901404,40
437179,711091,532
410154,943010,701
544653,286224,74
462392,364732,233
111198,198541,568
797437,722166,620
683144,851857,284
204689,815077,140
700913,917576,775
929605,649717,758
1023237,484305,324
229350,366534,475
316172,970686,77
739115,761487,267
906206,703495,351
201473,922179,723
535658,1075625,632
470558,801909,27
1039061,306894,716
285070,827702,352
481310,374521,186
601047,452200,415
555993,913039,651
677043,212425,170
121376,138118,981
171517,479909,513
597339,1039426,861
411461,485178,948
524342,147116,404
987120,343800,214
142102,219866,647
874781,646642,95
964744,1071230,679
916394,1081250,91
792867,995847,692
331793,782219,927
859405,149019,387
188743,931056,432
122813,583709,560
744199,806565,266
958163,667941,229
644782,807010,956
135454,632986,542
535339,310892,137
285623,1018456,630
832272,939772,463
945278,390414,242
981001,547504,126
274794,178687,667
927766,443252,326
695597,692635,774
715902,543529,705
329699,751818,951
1087968,548353,664
225300,203556,93
364176,679951,584
438575,528195,689
322928,662213,306
693653,694667,389
931622,820059,708
401498,564008,955
448685,732831,482
955525,780059,975
787994,517221,972
966273,168090,368
946188,195992,264
731531,717197,225
623155,561762,524
895614,777147,97
897490,272879,943
486879,886062,298
102199,695936,412
977847,247838,303
528701,135947,803
723368,196134,82
663460,106856,200
231436,692831,289
291913,619077,505
685755,363356,52
323527,331416,909
1018722,785756,545
186262,998103,473
910452,222526,495
458861,934435,101
373593,502787,594
613039,790317,15
350779,789669,706
993662,729231,274
922831,160786,713
870639,178831,251
210846,916253,982
810354,730578,45
186902,1035685,673
869509,569328,247
729614,581387,176
594467,955441,424
854721,1061618,134
604446,613343,796
327168,301359,180
965770,423677,203
1075726,818392,130
923626,426511,239
279786,831889,948
724173,898484,843
742265,485405,42
894782,131469,416
817759,734273,200
1061053,814840,929
1089894,522239,558
945570,967302,392
1065552,373311,309
861094,642807,578
501297,454954,855
1026028,387066,216
444839,243330,592
392903,691936,501
164955,1009296,117
942994,264137,110
239370,160221,21
366057,1083589,191
734170,362909,515
457286,316064,597
589618,479108,942
1091539,469594,901
777158,621522,12
268482,312840,915
887150,121204,969
732580,455826,744
738724,522801,191
1028139,536659,673
698880,971577,909
150082,471705,253
692249,618015,527
1064410,724653,324
522267,459601,726
611254,411451,72
864757,1065680,515
236734,442819,143
760767,897271,38
121570,977816,924
169506,223395,306
985126,229915,525
318969,964867,239
942674,800905,531
740976,495894,798
439972,571704,291
578435,336693,661
1064504,648154,787
261510,469660,319
308563,1059567,354
542204,864664,339
351035,152877,123
191470,392018,759
977153,422291,638
186444,107531,590
841847,837616,544
961925,944344,370
990832,1008258,187
927904,945060,685
483911,834307,681
1099334,697733,49
643263,259474,931
318342,1031927,736
219718,254130,757
687867,661755,959
209071,248355,268
887213,461883,262
316958,776274,878
488008,134753,577
269512,529419,638
483203,1035987,107
872895,803843,78
157340,831927,382
1065824,428062,722
264882,568282,625
105353,555679,67
776844,455718,673
1095277,204236,288
229217,698665,366
778127,785874,327
1026387,851015,766
227261,333231,863
1080995,1076044,755
120642,322965,623
447452,145191,469
350341,905345,522
588608,413359,140
735951,682374,404
574758,960956,298
819129,685022,836
163878,361557,574
1034690,699982,222
815193,394466,565
533174,483293,794
154356,1017509,956
271811,275140,473
541593,168188,134
178703,834688,438
847898,585623,557
1044533,1018039,185
155710,108915,890
519678,469652,284
927586,211843,342
458165,972882,906
1032297,696977,87
999281,694300,309
1018202,834637,865
918197,867555,385
540984,657282,992
678391,1061679,737
181074,447799,630
843515,245885,810
458082,316719,810
1056782,595497,204
194953,341770,87
353410,646084,995
193574,544063,96
199186,1083655,98
703213,787882,969
696884,467087,641
835046,821683,107
217419,330580,274
929031,386045,742
1083401,532144,880
967000,502821,485
471516,142023,751
985917,1025024,607
838472,308440,984
327332,541542,421
663820,1071095,618
386106,599215,414
489440,615070,35
339922,1063610,267
818363,181999,215
931184,567319,40
592235,525158,410
291106,573049,704
271787,954211,410
808454,974338,772
1023239,846055,952
457223,961547,636
709488,342924,273
601878,488710,530
288729,594894,406
471669,673224,173
1097150,581528,824
831062,874098,49
1011623,131206,93
340190,927603,217
900565,426818,492
1076191,935006,884
976090,612257,232
862596,265498,590
676564,750344,653
509010,1068694,335
934357,282777,358
801072,404116,817
675295,342979,540
301662,594475,529
675326,1090552,739
955017,340318,615
524790,132376,935
373287,456031,426
353743,569631,885
682952,935131,703
786076,831061,268
224457,728435,738
884192,814506,729
738768,223534,442
679209,179936,562
427779,310870,766
586364,1071288,364
392675,128574,956
339317,989904,369
145079,795252,415
327525,501521,52
591479,752591,979
596329,882086,578
764118,929248,779
433647,1067368,18
1022063,590016,361
588587,757918,42
909537,1040680,987
105725,334153,674
289133,181869,847
635438,146087,548
356691,216316,239
1043875,664469,719
1032524,375530,57
475612,787130,860
510435,937026,839
890656,696881,83
1021172,451361,685
927849,960655,291
216877,116738,318
277758,205765,989
575822,100882,467
265406,209587,98
921529,900593,950
881680,790696,627
854559,601646,325
423367,434365,822
300828,512548,194
393232,766306,802
739833,665814,959
1052001,246823,432
800706,812443,113
798364,405906,326
550549,562622,216
487019,287873,942
995094,634032,622
172372,684022,539
882884,829537,233
265200,427912,635
1020289,360290,197
526106,1025618,514
532300,288680,127
351158,288734,631
261846,1053578,402
352045,640496,108
122200,677027,687
201071,672347,818
640919,1057570,685
889962,499662,620
528464,174635,237
862786,779400,682
539737,920949,925
214761,494749,806
1086287,228508,408
179197,961972,504
271819,822959,741
823416,142830,763
736506,1054195,827
850721,939943,794
253917,199369,863
106175,522928,843
530806,648144,400
258321,372028,560
179203,329817,169
595769,664797,597
827834,313746,369
503969,454611,607
1060321,999933,751
452051,114172,17
474699,146770,41
895807,1032364,520
375881,653930,566
808876,1060808,638
735758,513094,794
1088201,108055,573
879784,890013,263
928752,791797,181
904064,917564,618
759795,1059984,98
647880,190373,235
376729,638811,141
618953,234744,333
267483,223471,808
803894,669203,369
157323,155956,954
750071,541044,774
393716,219909,12
354636,420936,213
279444,181127,568
985358,985722,913
754579,881163,495
207634,332833,871
863877,361520,662
171652,260199,213
300193,998396,663
244550,207433,931
517625,138175,172
753043,143239,861
167717,255370,901
1021443,186596,770
565160,710405,600
165551,500944,180
702645,305077,707
352454,136987,797
664431,576759,448
936095,503493,199
130946,694208,254
574164,666385,596
575208,990386,319
412720,854449,770
663621,953669,779
943936,994473,394
479976,1096100,814
742412,684292,836
697042,703729,376
136593,181561,765
285602,978067,503
162929,726934,790
686656,707538,245
756616,1070360,980
286494,628416,913
977158,880895,373
629817,493267,43
214599,417992,754
965662,546412,489
800272,319192,887
640876,687826,237
689430,507080,193
1041303,475587,227
175627,664153,777
481621,110993,984
172297,371008,210
918415,841183,466
656924,562134,805
790190,643024,803
941572,818705,948
253408,450347,921
165674,792287,251
714301,551043,981
923366,1024129,710
573776,244913,116
463572,556988,979
367105,152231,575
473548,1054409,729
488788,885558,433
714117,826443,222
351618,944248,532
708020,427459,595
828456,494921,529
370091,713471,466
1078140,1025222,407
195851,895099,379
752980,834211,626
684495,525118,353
876656,368301,309
551497,521177,711
767750,513265,140
878855,291102,318
851919,585195,821
276033,992496,572
130191,262262,381
185039,826051,619
1044364,876947,32
557373,284334,907
404356,170836,692
296830,250337,133
197253,1037096,236
392462,225257,426
315130,219377,901
396763,573458,987
679638,359374,489
639147,770506,859
393318,885375,500
211096,970587,260
565058,912930,643
1045239,944481,443
1033752,978012,202
854879,963913,417
583431,590577,174
631469,1066765,947
575450,979808,547
703696,339818,567
135749,337421,191
710624,225422,248
391794,480254,700
951764,518003,30
956947,334787,979
1025443,714416,646
213177,872203,156
475283,287349,923
302182,651954,222
367953,289503,117
452702,283170,594
944202,116803,310
293990,708286,347
592749,739978,948
840323,289009,332
1002688,656044,725
150295,856170,180
122802,994429,717
920250,329876,706
519711,1032856,621
663273,992011,346
665197,801416,601
1026469,854567,705
263528,426890,244
739493,323425,428
918607,212813,419
1071600,890914,644
922438,650809,638
148029,154120,548
1095047,627506,32
905461,728998,772
483020,638740,432
158903,853652,984
409300,828139,675
439091,355805,769
1031682,886937,513
146685,947203,722
850978,622955,428
122738,588293,565
615586,267418,167
676300,646356,28
395026,225839,681
533567,810389,96
606953,494420,557
683775,644541,352
433189,1025519,232
380168,307457,546
176080,116851,517
128960,233217,396
966906,1018347,101
203867,680353,569
547938,842286,315
977555,875240,585
524474,419926,66
864200,887735,866
324720,423556,881
246854,484048,820
936990,412585,235
735001,267029,534
190503,352665,170
647296,994857,145
434063,1029391,939
498867,147365,816
933771,468856,274
435373,713543,734
974131,944688,20
351827,846410,931
216069,157038,819
1077516,189335,205
290449,530276,875
1021487,237805,730
907103,476680,681
162526,716028,137
960210,667390,775
448431,426651,193
766935,692657,264
924212,1009211,772
1088879,155067,200
960654,420754,830
416601,453555,587
910811,337434,826
1052211,359694,84
690138,1074018,453
758863,304464,391
377326,765583,267
173470,243281,31
1071501,929785,943
908764,997253,577
687360,849756,609
980337,471314,58
403790,347328,490
221038,478499,636
1036845,509376,120
434960,743999,151
631761,705001,451
133689,592083,430
762693,534161,721
504201,682744,391
323983,237715,645
440456,455788,180
423516,950957,471
283260,586232,935
889770,474509,377
265397,188283,38
535416,991895,256
428443,501415,446
418025,290430,610
474113,707607,945
934815,561894,168
222937,1050887,962
589779,368942,614
1038279,166055,77
715717,503136,201
202472,683265,900
466546,386213,911
774227,530938,488
198872,422062,340
261859,858452,278
565742,630010,409
1032728,268170,370
683824,480497,357
480084,721762,160
804876,367343,99
882310,402837,410
423263,1037114,897
612630,398879,111
637387,114176,97
209922,297824,722
139800,459550,576
530530,1052255,794
781538,634627,774
499319,1008657,421
475079,751088,626
518383,539970,709
737248,957298,603
362834,745648,62
711669,572432,946
739323,697926,919
814825,100748,321
429907,821571,520
985950,530409,384
214895,1036402,188
415057,315042,670
737926,788748,601
813082,1022656,494
936551,493731,278
113183,286966,671
961881,270888,715
416940,464816,913
1095319,549820,345
1045224,368710,944
596624,1061390,24
1007986,516666,47
254226,721847,942
751822,331375,117
511132,441513,769
925745,841089,801
170221,436555,192
884189,344564,397
497298,923291,936
625477,421595,501
272201,969473,789
245193,630119,364
