From Account, From Account Name,To Account, To Account Name ,Amount
134491,rtuuzr,1092520,rqzsvsq,723.0
766930,xwwztq,681443,wyruut,270.0
1069064,rqwzqwu,279046,sxzquw,974.0
129478,rszuxy,833215,yttsrv,618.0
785777,xyvxxx,381086,tyrqyw,623.0
559297,vvzszx,712455,xrsuvv,996.0
534614,vtuwru,315893,trvyzt,116.0
960290,zwqszq,228654,ssywvu,763.0
982013,zysqrt,837422,ytxuss,277.0
309962,tqzzws,293117,sztrrx,672.0
106064,rqwqwu,507378,vqxtxy,873.0
857321,yvxtsr,636253,wtwsvt,791.0
226895,sswyzv,221138,ssrrty,131.0
800333,yqqttt,1025015,rqsvqrv,963.0
641010,wurqrq,194514,rzuvru,21.0
418557,uryvvx,565643,vwvwut,61.0
219000,srzqqq,332325,ttstsv,361.0
358087,tvyqyx,117310,rrxtrq,276.0
600318,wqqtry,383559,tytvvz,56.0
595348,vzvtuy,848763,yuyxwt,218.0
521627,vsrwsx,127682,rsxwys,872.0
536807,vtwyqx,389597,tyzvzx,733.0
112096,rrsqzw,1093003,rqztqqt,239.0
461273,uwrsxt,125057,rsvqvx,969.0
815338,yrvtty,470463,uxquwt,741.0
691514,wzrvru,464960,uwuzwq,848.0
193081,rztqyr,805680,yqvwyq,389.0
187685,ryxwyv,541029,vurqsz,465.0
891189,yzrryz,315597,trvvzx,387.0
323191,tstrzr,643748,wutxuy,350.0
122434,rssutu,155278,rvvsxy,912.0
482851,uysyvr,686631,wywwtr,145.0
609637,wqzwtx,573494,vxtuzu,239.0
532591,vtsvzr,607855,wqxyvv,833.0
675215,wxvsrv,154833,rvuytt,732.0
308103,tqyrqt,608873,wqyyxt,380.0
1055438,rqvvuty,853691,yvtwzr,899.0
748957,xuyzvx,782248,xyssuy,243.0
557436,vvxutw,373796,txtxzw,885.0
386801,tywyqr,417842,urxyus,804.0
910250,zrqsvq,1070800,rqxqyqq,756.0
341198,turrzy,580361,vyqtwr,296.0
278892,sxyyzs,696197,wzwrzx,800.0
445482,uuvuys,642455,wusuvv,942.0
883051,yytqvr,1065021,rqwvqsr,135.0
225398,ssvtzy,777848,xxxyuy,29.0
985588,zyvvyy,607023,wqxqst,311.0
960514,zwqvru,519997,vrzzzx,420.0
887856,yyxyvw,897434,yzxutu,239.0
733079,xttqxz,198813,rzyyrt,180.0
460191,uwqrzr,1010470,rqrquxq,788.0
176781,rxwxyr,1079873,rqxzyxt,28.0
138720,rtyxsq,192111,rzsrrr,207.0
413846,urtyuw,788885,xyyyyv,303.0
452691,uvswzr,672299,wxsszz,342.0
971522,zxrvss,283969,sytzwz,327.0
1022043,rqssqut,934063,ztuqwt,31.0
583012,vytqrs,1073421,rqxtusr,356.0
539289,vtzsyz,554628,vvuwsy,817.0
461943,uwrzut,633789,wttxyz,241.0
492885,uzsyyv,535000,vtvqqq,477.0
137742,rtxxus,207154,sqxrvu,193.0
1066178,rqwwrxy,649775,wuzxxv,18.0
701763,xqrxwt,357021,tvxqsr,522.0
466822,uwwyss,617456,wrxuvw,242.0
275626,sxvwsw,370572,txqvxs,892.0
544174,vuurxu,454571,uvuvxr,574.0
333944,tttzuu,1041375,rqurtxv,402.0
491973,uzrzxt,618983,wryzyt,945.0
168807,rwyyqx,852274,yvssxu,550.0
914670,zruwxq,508843,vqyyut,61.0
324803,tsuyqt,1084752,rqyuxvs,236.0
736507,xtwvqx,1097292,rqzxszs,204.0
256247,svwsux,800929,yqqzsz,394.0
1062866,rqwsyww,908896,zqyyzw,329.0
764843,xwuyut,1091200,rqzrsqq,753.0
1089274,rqyzsxu,670902,wxqzqs,222.0
647715,wuxxrv,438510,utyvrq,641.0
248454,suyuvu,624042,wsuqus,459.0
103659,rqtwvz,537915,vtxzrv,754.0
369077,twzqxx,226105,sswrqv,886.0
619252,wrzsvs,716002,xrwqqs,567.0
937437,ztxutx,819811,yrzyrr,955.0
128245,rsysuv,762874,xwsyxu,952.0
587667,vyxwwx,268425,swyusv,29.0
1066241,rqwwsur,331565,ttrvwv,397.0
792889,xzsyyz,792848,xzsyuy,485.0
984909,zyuzqz,847457,yuxuvx,876.0
1093733,rqztxtt,309687,tqzwyx,450.0
574050,vxuqvq,991739,zzrxtz,886.0
407945,uqxzuv,391597,tzrvzx,853.0
1035526,rqtvvsw,802921,yqszsr,893.0
335295,ttvszv,625678,wsvwxy,424.0
766328,xwwtsy,380139,tyqrtz,657.0
1031609,rqtrwqz,474780,uxuxyq,36.0
254691,svuwzr,1055847,rqvvyux,684.0
676523,wxwvst,980434,zyqutu,137.0
865375,ywvtxv,627429,wsxusz,306.0
104368,rqutwy,521458,vsruvy,88.0
846549,yuwvuz,919341,zrztur,315.0
707009,xqxqqz,1088285,rqyysyv,284.0
206329,sqwtsz,210259,srqsvz,939.0
121339,rsrttz,838566,ytyvww,526.0
247445,suxuuv,108308,rqytqy,585.0
984154,zyurvu,851487,yvruyx,107.0
887457,yyxuvx,470000,uxqqqq,475.0
454479,uvuuxz,452638,uvswty,458.0
1088231,rqyystr,986980,zywzyq,878.0
890858,yzqyvy,279160,sxzrwq,109.0
676785,wxwxyv,1085189,rqyvryz,365.0
656244,wvwsuu,537440,vtxuuq,140.0
483315,uyttrv,867794,ywxxzu,668.0
295733,szvxtt,503420,vqtusq,978.0
988856,zyyyvw,318202,trysqs,702.0
959302,zvztqs,575451,vxvuvr,518.0
879367,yxztwx,1033777,rqttxxx,501.0
327458,tsxuvy,577739,vxxxtz,811.0
479875,uxzyxv,820945,ysqzuv,69.0
687006,wyxqqw,298583,szyvyt,293.0
1099765,rqzzxwv,829228,yszssy,969.0
1009717,rqqzxrx,1076563,rqxwvwt,427.0
942606,zuswqw,494902,uzuzqs,463.0
399190,tzzrzq,663367,wwttwx,327.0
753358,xvttvy,382584,tysvyu,561.0
799136,xzzrtw,818412,yryurs,412.0
1088528,rqyyvsy,706618,xqwwry,591.0
540210,vuqsrq,1084274,rqyusxu,622.0
326337,tswttx,307791,tqxxzr,896.0
781441,xyruur,487063,uyxqwt,384.0
514025,vruqsv,578343,vxytut,394.0
338082,ttyqys,924353,zsutvt,120.0
881627,yyrwsx,521375,vsrtxv,371.0
416046,urwquw,990171,zzqrxr,476.0
438449,utyuuz,746165,xuwrwv,313.0
670956,wxqzvw,974576,zxuvxw,662.0
732452,xtsuvs,121226,rsrssw,951.0
439476,utzuxw,621444,wsruuu,673.0
776551,xxwvvr,1084579,rqyuvxz,165.0
842031,yusqtr,1013148,rqrtruy,355.0
328538,tsyvty,430927,utqzsx,671.0
796519,xzwvrz,341633,turwtt,442.0
136378,rtwtxy,617961,wrxzwr,663.0
506315,vqwtrv,1022381,rqsstyr,744.0
960533,zwqvtt,588559,vyyvvz,600.0
446427,uuwusx,329761,tszxwr,432.0
460927,uwqzsx,462353,uwstvt,74.0
623205,wstsqv,483368,uyttwy,178.0
424000,usuqqq,110386,rrqtyw,591.0
780089,xyqqyz,1049907,rquzzqx,627.0
343416,tuturw,154605,rvuwqv,548.0
992526,zzsvsw,957084,zvxqyu,456.0
364920,twuzsq,483311,uyttrr,735.0
988661,zyywwr,192512,rzsvrs,344.0
384965,tyuzwv,653931,wvtztr,360.0
848396,yuytzw,346351,tuwtvr,372.0
688268,wyyswy,1082995,rqyszzv,630.0
904228,zqussy,489454,uyzuvu,562.0
791986,xzrzyw,845581,yuvvyr,343.0
718201,xrysqr,856204,yvwsqu,540.0
116824,rrwysu,979874,zxzyxu,550.0
497202,uzxsqs,404539,uquvtz,114.0
657253,wvxsvt,599550,vzzvvq,752.0
351888,tvryyy,290164,szqrwu,568.0
977670,zxxwxq,1096386,rqzwtyw,308.0
759481,xvzuyr,1004187,rqquryx,227.0
571050,vxrqvq,768134,xwyrtu,530.0
799566,xzzvww,919526,zrzvsw,200.0
516330,vrwttq,456830,uvwytq,160.0
530677,vtqwxx,870648,yxqwuy,292.0
918181,zryryr,248805,suyyqv,411.0
193342,rzttus,220276,ssqsxw,398.0
621313,wsrtrt,413966,urtzww,143.0
282844,sysyuu,775244,xxvsuu,188.0
730780,xtqxyq,214470,sruuxq,211.0
319765,trzxwv,793068,xztqwy,127.0
229519,sszvrz,678907,wxyzqx,635.0
230931,stqztr,368996,twyzzw,868.0
604390,wqutzq,746706,xuwxqw,793.0
324869,tsuywz,830760,ytqxwq,491.0
1044443,rquuuut,855689,yvvwyz,49.0
670339,wxqttz,1022779,rqssxxz,81.0
1075964,rqxvzwu,264493,swuuzt,414.0
287766,syxxww,505338,vqvtty,286.0
102545,rqsvuv,400630,uqqwtq,674.0
696594,wzwvzu,521466,vsruww,950.0
222179,sssrxz,980806,zyqyqw,366.0
348662,tuywws,714047,xruqux,979.0
868731,ywyxtr,487144,uyxruu,113.0
1064182,rqwurys,647504,wuxvqu,341.0
585467,vyvuwx,258511,svyvrr,658.0
887194,yyxrzu,453831,uvtytr,721.0
901923,zqrzst,931628,ztrwsy,638.0
840236,yuqstw,798779,xzyxxz,992.0
695278,wzvsxy,426517,uswvrx,161.0
852485,yvsuyv,248807,suyyqx,486.0
343952,tutzvs,685601,wyvwqr,11.0
189518,ryzvry,221019,ssrqrz,851.0
955777,zvvxxx,536625,vtwwsv,929.0
961518,zwrvry,375268,txvswy,697.0
813924,yrtzsu,930683,ztqwyt,411.0
1024074,rqsuqxu,704822,xquyss,406.0
379385,txztyv,1014051,rqruqvr,366.0
1062791,rqwsxzr,694468,wzuuwy,712.0
598679,vzywxz,905196,zqvrzw,727.0
203702,sqtxqs,992148,zzsruy,778.0
950962,zvqzws,522760,vssxwq,831.0
757857,xvxyvx,201530,sqrvtq,812.0
476955,uxwzvv,744101,xuurqr,763.0
635849,wtvyuz,199168,rzzrwy,45.0
394185,tzuryv,249322,suztss,286.0
1012147,rqrsrux,735989,xtvzyz,420.0
226133,sswrtt,910147,zrqrux,385.0
733485,xttuyv,446049,uuwquz,573.0
626475,wswuxv,584189,vyuryz,315.0
1071873,rqxryxt,784846,xyuyuw,697.0
1027323,rqsxtst,314765,truxwv,752.0
123193,rstrzt,995323,zzvtst,135.0
291395,szrtzv,573874,vxtyxu,489.0
1032417,rqtsurx,974229,zxussz,980.0
434583,utuvyt,102626,rqswsw,244.0
973250,zxtsvq,104270,rqusxq,543.0
879045,yxzquv,599532,vzzvts,941.0
629090,wszqzq,612031,wrsqtr,554.0
823327,ysttsx,706617,xqwwrx,13.0
328409,tsyuqz,705810,xqvyrq,320.0
630498,wtquzy,660056,wwqqvw,809.0
132047,rtsqux,134454,rtuuvu,209.0
570103,vxqrqt,420552,usqvvs,374.0
148440,ruyuuq,523733,vstxtt,943.0
236624,stwwsu,422113,ussrrt,408.0
765719,xwvxrz,654981,wvuzyr,486.0
736334,xtwttu,329678,tszwxy,884.0
713885,xrtyyv,1071354,rqxrtvu,511.0
478269,uxyswz,783177,xytrxx,567.0
708567,xqyvwx,1093926,rqztzsw,93.0
736665,xtwwwv,657205,wvxsqv,939.0
846432,yuwuts,193495,rztuzv,185.0
191448,rzruuy,136859,rtwyvz,73.0
141752,rurxvs,390450,tzquvq,515.0
416823,urwyst,756568,xvwvwy,699.0
568361,vwytwr,1049009,rquzqqz,428.0
980484,zyquyu,253444,svtuuu,926.0
1018938,rqryzty,529197,vszrzx,830.0
439208,utzsqy,716459,xrwuvz,251.0
186850,rywyvq,651615,wvrwrv,545.0
466658,uwwwvy,687050,wyxqvq,630.0
580187,vyqryx,511668,vrrwwy,43.0
142131,rusrtr,711552,xrrvvs,477.0
391444,tzruuu,775233,xxvstt,553.0
198465,rzyuwv,120028,rsqqsy,380.0
412442,ursuus,290636,szqwtw,354.0
904029,zquqsz,546925,vuwzsv,905.0
138229,rtyssz,292452,szsuvs,795.0
869486,ywzuyw,615504,wrvvqu,338.0
452572,uvsvxs,933776,zttxxw,171.0
183496,rytuzw,1079444,rqxzuuu,79.0
159782,rvzxys,252669,svswwz,462.0
212699,srswzz,599092,vzzqzs,889.0
828152,ysyrvs,479230,uxzstq,530.0
397047,tzxqux,195460,rzvuwq,61.0
861827,ywrysx,926278,zswsxy,821.0
286388,sywtyy,199236,rzzstw,15.0
754454,xvuuvu,1039206,rqtzsqw,481.0
679844,wxzyuu,448515,uuyvrv,253.0
298395,szytzv,1087233,rqyxstt,393.0
354957,tvuzvx,716994,xrwzzu,388.0
127354,rsxtvu,806200,yqwsqq,547.0
393858,tztyvy,659445,wvzuuv,81.0
860295,ywqszv,308879,tqyyxz,433.0
590762,vzqxws,227755,ssxxvv,423.0
153896,rvtyzw,134322,rtutss,873.0
795357,xzvtvx,617567,wrxvwx,832.0
176351,rxwtvr,769652,xwzwvs,479.0
676338,wxwtty,683341,wyttur,484.0
377640,txxwuq,211051,srrqvr,861.0
914323,zrutst,793101,xztrqr,595.0
216463,srwuwt,144882,ruuyys,297.0
519163,vrzrwt,189886,ryzyyw,390.0
316529,trwvsz,201223,sqrsst,445.0
217462,srxuws,918938,zryzty,41.0
588432,vyyuts,114504,rruvqu,10.0
451643,uvrwut,979119,zxzrrz,396.0
367530,twxvtq,676288,wxwsyy,518.0
483080,uytqyq,287830,syxytq,759.0
477115,uxxrrv,185550,ryvvvq,215.0
314768,truxwy,330599,ttqvzz,842.0
417492,urxuzs,562517,vwsvrx,493.0
757979,xvxzxz,905738,zqvxty,331.0
496832,uzwyts,109879,rqzyxz,98.0
202869,sqsywz,749461,xuzuwr,846.0
356749,tvwxuz,648729,wuyxsz,490.0
676683,wxwwyt,717471,xrxuxr,250.0
472188,uxsryy,316714,trwxru,99.0
207498,sqxuzy,644357,wuutvx,589.0
930102,ztqrqs,735843,xtvyut,325.0
1042145,rqusruv,153766,rvtxww,384.0
733361,xtttwr,812166,yrsrww,535.0
487302,uyxtqs,770298,xxqszy,312.0
715580,xrvvyq,1058709,rqvyxqz,320.0
472526,uxsvsw,373945,txtzuv,440.0
798999,xzyzzz,330233,ttqstt,666.0
631620,wtrwsq,973476,zxtuxw,675.0
1077307,rqxxtqx,1071124,rqxrrsu,421.0
173386,rxttyw,601863,wqrywt,918.0
435799,utvxzz,979588,zxzvyy,175.0
225712,ssvxrs,254064,svuqwu,907.0
777095,xxxqzv,960395,zwqtzv,950.0
318031,tryqtr,318581,tryvyr,78.0
449568,uuzvwy,1027990,rqsxzzq,35.0
664788,wwuxyy,572806,vxsyqw,727.0
913422,zrtuss,695332,wzvtts,446.0
694526,wzuvsw,1066088,rqwwqyy,567.0
398682,tzywys,1057419,rqvxurz,682.0
276683,sxwwyt,157848,rvxyuy,866.0
269344,swztuu,885773,yyvxxt,332.0
224661,ssuwwr,582696,vyswzw,365.0
726335,xswttv,250632,svqwts,996.0
328265,tsyswv,610013,wrqqrt,377.0
393559,tztvvz,832042,ytsqus,666.0
194066,rzuqww,1049639,rquzwtz,560.0
277842,sxxyus,475196,uxvrzw,133.0
242701,susxqr,175718,rxvxry,247.0
1021593,rqsrvzt,204581,squvyr,104.0
778479,xxyuxz,513064,vrtqwu,466.0
189423,ryzust,641341,wurtur,180.0
491885,uzryyv,655119,wvvrrz,856.0
189827,ryzysx,604183,wquryt,493.0
844163,yuurwt,929922,zszzss,467.0
902601,zqswqr,306822,tqwyss,312.0
115204,rrvsqu,295518,szvvry,479.0
233640,sttwuq,673690,wxtwzq,369.0
738362,xtytws,684492,wyuuzs,471.0
149946,ruzzuw,226001,sswqqr,352.0
915651,zrvwvr,693618,wztwry,908.0
929088,zszqyy,171380,rxrtyq,825.0
924090,zsuqzq,623452,wstuvs,781.0
394429,tzuusz,673758,wxtxvy,878.0
806297,yqwszx,619098,wrzqzy,800.0
548132,vuyrts,399914,tzzzru,979.0
971482,zxruys,931760,ztrxwq,35.0
187520,ryxvsq,378567,txyvwx,495.0
381192,tyrrzs,231886,stryyw,646.0
578430,vxyutq,844007,yuuqqx,717.0
688456,wyyuvw,137206,rtxsqw,370.0
1085660,rqyvwwq,650374,wvqtxu,316.0
345742,tuvxus,686018,wywqry,483.0
672134,wxsrtu,597391,vzxtzr,308.0
910015,zrqqrv,260271,swqsxr,971.0
267566,swxvww,150093,rvqqzt,587.0
894772,yzuxxs,491807,uzryqx,542.0
211504,srrvqu,890349,yzqtuz,828.0
492330,uzsttq,261431,swrutr,893.0
101063,rqrqwt,290825,szqysv,403.0
1038911,rqtyzrr,528979,vsyzxz,257.0
313066,trtqww,572349,vxstuz,408.0
217504,srxvqu,763240,xwtsuq,319.0
298055,szyqvv,1009915,rqqzzrv,340.0
408761,uqyxwr,124368,rsutwy,221.0
638985,wtyzyv,711839,xrrytz,646.0
195525,rzvvsv,747365,xuxtwv,983.0
151377,rvrtxx,946940,zuwzuq,777.0
675107,wxvrqx,759578,xvzvxy,911.0
462092,uwsqzs,242081,susqyr,532.0
311746,trrxuw,497339,uzxttz,711.0
363103,twtrqt,635283,wtvsyt,890.0
181505,ryrvqv,750273,xvqsxt,465.0
968320,zwytsq,179503,rxzvqt,279.0
311913,trrzrt,482409,uysuqz,69.0
584509,vyuvqz,907773,zqxxxt,873.0
796362,xzwtws,297334,szxttu,278.0
712843,xrsyut,714466,xruuww,285.0
452336,uvsttw,875593,yxvvzt,381.0
1010075,rqrqqxv,293121,sztrsr,183.0
215347,srvtux,735426,xtvusw,204.0
835725,ytvxsv,822187,yssryx,470.0
898832,yzyyts,665680,wwvwyq,746.0
497860,uzxywq,661878,wwryxy,167.0
867551,ywxvvr,1013082,rqrtqys,301.0
176362,rxwtws,659683,wvzwyt,224.0
361538,twrvty,446648,uuwwuy,708.0
763123,xwtrst,960027,zwqqsx,580.0
308078,tqyqxy,610455,wrquvv,626.0
448555,uuyvvv,653816,wvtyrw,850.0
410974,urqzxu,132677,rtswxx,937.0
537933,vtxztt,926489,zswuyz,288.0
891622,yzrwss,917769,zrxxwz,659.0
399818,tzzyry,338365,ttytwv,337.0
278425,sxyusv,160301,rwqtqr,205.0
795761,xzvxwr,758112,xvyrrs,722.0
486026,uywqsw,434163,uturwt,298.0
165333,rwvttt,139350,rtztvq,524.0
600226,wqqssw,150681,rvqwyr,153.0
136947,rtwzux,891748,yzrxuy,904.0
175806,rxvyqw,962969,zwszwz,255.0
677170,wxxrxq,1007239,rqqxstz,884.0
719520,xrzvsq,669840,wwzyuq,841.0
399280,tzzsyq,952955,zvszvv,23.0
1079260,rqxzswq,604349,wqutuz,840.0
614537,wruvtx,645345,wuvtuv,154.0
270547,sxqvux,383740,tytxuq,168.0
1091907,rqzrzqx,880861,yyqywr,322.0
858143,yvyrut,146993,ruwzzt,690.0
1094152,rqzurvs,625553,wsvvvt,131.0
739980,xtzzyq,356940,tvwzuq,517.0
140062,ruqqws,820544,ysqvuu,668.0
969265,zwzswv,1091023,rqzrqst,38.0
468232,uwysts,535821,vtvysr,560.0
522194,vssrzu,751873,xvryxt,369.0
521148,vsrruy,494742,uzuxus,149.0
878811,yxyyrr,356108,tvwrqy,504.0
404246,uqusuw,1078755,rqxyxvv,687.0
281691,syrwzr,519309,vrztqz,860.0
341755,turxvv,1039468,rqtzuwy,381.0
944849,zuuyuz,675954,wxvzvu,223.0
720852,xsqyvs,866215,ywwsrv,600.0
116588,rrwvyy,936094,ztwqzu,364.0
198926,rzyzsw,357609,tvxwqz,414.0
119328,rrztsy,1003956,rqqtzvw,599.0
777094,xxxqzu,335553,ttvvvt,269.0
213783,srtxyt,528002,vsyqqs,710.0
725144,xsvruu,882024,yysqsu,333.0
186876,rywyxw,220516,ssqvrw,703.0
375601,txvwqr,454170,uvurxq,81.0
687703,wyxxqt,636203,wtwsqt,739.0
640029,wuqqsz,742843,xusyut,655.0
871858,yxryvy,855688,yvvwyy,544.0
367335,twxttv,520425,vsqusv,990.0
765458,xwvuvy,1008857,rqqyyvx,667.0
794393,xzutzt,900421,zqqusr,358.0
1090095,rqzqqzv,154642,rvuwus,881.0
256934,svwztu,1058854,rqvyyvu,381.0
490995,uzqzzv,888287,yyysyx,897.0
343355,tuttvv,741115,xurrrv,696.0
138100,rtyrqq,455351,uvvtvr,20.0
423718,ustxry,800210,yqqsrq,643.0
711274,xrrsxu,282502,sysvqs,989.0
277556,sxxvvw,658368,wvytwy,204.0
850271,yvqsxr,536351,vtwtvr,563.0
173242,rxtsus,728296,xsyszw,267.0
104586,rquvyw,688534,wyyvtu,110.0
1039346,rqtztuw,672546,wxsvuw,589.0
929566,zszvww,420867,usqywx,329.0
149206,ruzsqw,619053,wrzqvt,15.0
1039685,rqtzwyv,488956,uyyzvw,40.0
527601,vsxwqr,1030718,rqtqxry,699.0
829243,yszsut,528284,vsysyu,961.0
446648,uuwwuy,488024,uyyqsu,47.0
725007,xsvqqx,1091982,rqzrzys,409.0
581304,vyrtqu,514996,vruzzw,837.0
442374,uustxu,327231,tsxstr,185.0
107882,rqxyys,423590,ustvzq,687.0
1085397,rqyvtzx,495987,uzvzyx,305.0
267625,swxwsv,913551,zrtvvr,56.0
778156,xxyrvw,660110,wwqrrq,784.0
440044,uuqquu,1014085,rqruqyv,385.0
751393,xvrtzt,544230,vuustq,404.0
595321,vzvtsr,1004540,rqquvuq,186.0
656283,wvwsyt,469842,uwzyus,915.0
121974,rsrzxu,169634,rwzwtu,848.0
797716,xzxxrw,178849,rxyyuz,212.0
759495,xvzuzv,1069101,rqwzrqr,270.0
816726,yrwxsw,846765,yuwxwv,344.0
506851,vqwyvr,927769,zsxxwz,631.0
463431,uwtutr,168351,rwytvr,981.0
935506,ztvvqw,174994,rxuzzu,683.0
332772,ttsxxs,869747,ywzxux,582.0
673650,wxtwvq,842927,yuszsx,196.0
145410,ruvurq,465923,uwvzst,770.0
190076,rzqqxw,396080,tzwqyq,695.0
406175,uqwrxv,1084078,rqyuqxy,243.0
1078106,rqxyrqw,510158,vrqrvy,214.0
164571,rwuvxr,599664,vzzwwu,821.0
289367,syztwx,1079968,rqxzzwy,653.0
205163,sqvrwt,1080161,rqyqrwr,311.0
112220,rrsssq,227457,ssxuvx,199.0
674833,wxuytt,535639,vtvwtz,510.0
896075,yzwqxv,1030796,rqtqxzw,463.0
443649,uutwuz,533379,vtttxz,371.0
994341,zzutur,1096548,rqzwvuy,956.0
453985,uvtzyv,752373,xvstxt,432.0
776822,xxwyss,428116,usyrrw,587.0
534551,vtuvvr,476131,uxwrtr,301.0
476294,uxwszu,632403,wtsuqt,367.0
421260,usrswq,556113,vvwrrt,978.0
298640,szywuq,211257,srrsvx,53.0
511391,vrrtzr,885808,yyvyqy,270.0
1038131,rqtyrtr,628277,wsysxx,92.0
495192,uzvrzs,1045075,rquvqxv,695.0
120228,rsqssy,1084548,rqyuvuy,474.0
449124,uuzrsu,558808,vvyyqy,730.0
931150,ztrrvq,294206,szusqw,534.0
1097973,rqzxzxt,1035942,rqtvzus,743.0
1047663,rquxwwt,813451,yrtuvr,130.0
934008,ztuqqy,729030,xszqtq,481.0
670999,wxqzzz,592570,vzsvxq,999.0
793479,xztuxz,977427,zxxusx,821.0
268191,swyrzr,442138,uusrty,344.0
101009,rqrqqz,322176,tssrxw,17.0
699642,wzzwus,376973,txwzxt,752.0
804300,yqutqq,408613,uqywrt,634.0
252466,svsuww,187446,ryxuuw,198.0
523068,vstqwy,720033,xsqqtt,508.0
193084,rztqyu,391231,tzrstr,489.0
436188,utwryy,106490,rqwuzq,682.0
197297,rzxszx,620678,wsqwxy,191.0
109873,rqzyxt,354240,tvusuq,762.0
281292,syrszs,395964,tzvzwu,911.0
226070,sswqxq,402676,uqswxw,251.0
732816,xtsyrw,347219,tuxsrz,987.0
401614,uqrwru,925029,zsvqsz,757.0
781098,xyrqzy,958050,zvyqvq,747.0
868579,ywyvxz,464324,uwutsu,573.0
664812,wwuyrs,801846,yqryuw,130.0
674599,wxuvzz,426860,uswywq,60.0
677823,wxxyst,505275,vqvsxv,828.0
331226,ttrssw,741720,xurxsq,202.0
601961,wqrzwr,665241,wwvsur,697.0
357506,tvxvqw,199426,rzzusw,938.0
859777,yvzxxx,179154,rxzrvu,817.0
824139,ysurtz,957353,zvxtvt,192.0
